satellite,timestamp,x_pred,y_pred,z_pred,vx_pred,vy_pred,vz_pred,x_truth,y_truth,z_truth,vx_truth,vy_truth,vz_truth,dx,dy,dz,dvx,dvy,dvz,dr,ds,dw,dvr,dvs,dvw
COSMOS 1989 (ETALON 1),2025-01-01 16:41:27.413952,-15.56590336916834,25552.796150050046,-71.36165823532441,-1.6792054116929602,0.01349818548624171,3.5707288342185564,-16.24392247509639,25553.107419335764,-70.43473090742323,-1.679221893639081,0.013296579694724642,3.5706707994888234,-0.6780191059280494,0.3112692857175716,0.9269273279011827,-1.6481946120805446e-05,-0.0002016057915170677,-5.803472973298085e-05,0.30909240627628176,1.128045204918711,-0.21856039780085246,-0.00020143285396740564,-4.596047799741083e-05,-3.9962724896182585e-05
COSMOS 1989 (ETALON 1),2025-01-01 16:46:27.413952,-519.1272049787877,25529.377287235533,999.5460922699024,-1.677289185607151,-0.1695917126526183,3.567401352573256,-519.8126860233291,25529.628762487388,1000.4584695922445,-1.677301723123378,-0.16978821329394123,3.5673378044101582,-0.6854810445413477,0.251475251854572,0.9123773223420812,-1.2537516226984735e-05,-0.00019650064132292755,-6.354816309794842e-05,0.3008436334079597,1.1051728275172312,-0.23160866261949048,-0.00019854065537722667,-4.346957079485991e-05,-3.873067213306724e-05
COSMOS 1989 (ETALON 1),2025-01-01 16:51:27.413952,-1021.5727354384504,25451.080676644826,2068.304800898637,-1.6717680391197973,-0.35228981365071377,3.5564049009553855,-1022.2644443158973,25451.273704327537,2069.201039215041,-1.6717766971802348,-0.3524809188202198,3.5563361981053276,-0.6917088774468994,0.1930276827115449,0.8962383164039238,-8.658060437483073e-06,-0.00019110516950604506,-6.870285005788901e-05,0.29242684570006183,1.0834251818609608,-0.24421382525531693,-0.00019553928483902213,-4.100657607939305e-05,-3.74042541890464e-05
COSMOS 1989 (ETALON 1),2025-01-01 16:56:27.413952,-1521.822761452208,25318.082461641636,3132.6172382175523,-1.66265480575953,-0.5342056609842984,3.537765189568745,-1522.5194776054182,25318.218469840347,3133.4958472061185,-1.6626596593184786,-0.534391113462334,3.5376916962450196,-0.6967161532102182,0.13600819871135172,0.8786089885661568,-4.8535589485254604e-06,-0.00018545247803558595,-7.34933237254154e-05,0.2839235352426963,1.0627979707251964,-0.25634602124411726,-0.00019244191969518872,-3.85779457317592e-05,-3.599023372198328e-05
COSMOS 1989 (ETALON 1),2025-01-01 17:01:27.413952,-2018.802539270343,25130.67566094355,4190.196312336501,-1.6499699048481489,-0.7149506702371582,3.5115240770601304,-2019.503055149177,25130.75615145434,4191.055896313179,-1.649971027777383,-0.7151302390848286,3.511446128325588,-0.7005158788340395,0.08049051079069613,0.8595839766776407,-1.122929234043113e-06,-0.00017956884767045267,-7.794873454258777e-05,0.2754110766568661,1.043275177843474,-0.267976629461031,-0.00018926131519612197,-3.622341990392253e-05,-3.450008204697494e-05
COSMOS 1989 (ETALON 1),2025-01-01 17:06:27.413952,-2511.444583556391,24889.269486379635,5238.769898464112,-1.6337413022347391,-0.8941389326209901,3.4777394659431593,-2512.147702183284,24889.296028985707,5239.609152974763,-1.6337387537409995,-0.8943124230572721,3.4776573939961963,-0.703118626892774,0.026542606072325725,0.8392545106507896,2.5484937395958696e-06,-0.00017349043628200889,-8.207194696296938e-05,0.26696318072502445,1.0248295152030487,-0.2790762834320563,-0.00018602186619011115,-3.395954184613001e-05,-3.292181034974129e-05
COSMOS 1989 (ETALON 1),2025-01-01 17:11:27.413952,-2998.6909188329905,24594.38842092491,6276.085632327847,-1.6140044204280457,-1.0713880085968412,3.436485166265811,-2999.395457286376,24594.36264678715,6276.90334365849,-1.6139982685108407,-1.0715552409601514,3.4363992951239197,-0.7045384533853394,-0.02577413776089088,0.817711330642851,6.151917204988422e-06,-0.00016723236331017688,-8.587114189140266e-05,0.2586488428717948,1.0074284958468815,-0.28961899208166036,-0.00018272819040000731,-3.179863016612777e-05,-3.126688321585527e-05
COSMOS 1989 (ETALON 1),2025-01-01 17:16:27.413952,-3479.495309032773,24246.671059376364,7299.9156580059935,-1.590802083294875,-1.2463197166507598,3.387850728096055,-3480.200094931597,24246.594655118508,7300.710697845788,-1.590792377031903,-1.2464805152849294,3.387761379151925,-0.7047858988239568,-0.07640425785575644,0.795039839794299,9.706262972031254e-06,-0.00016079863416962326,-8.934894412959693e-05,0.25053039334192995,0.9910281264239313,-0.29957786184619273,-0.00017937807105153494,-2.9761796896503276e-05,-2.9519301822606933e-05
COSMOS 1989 (ETALON 1),2025-01-01 17:21:27.413952,-3952.8254607968042,23846.868714458597,8308.061320853389,-1.5641844063738972,-1.4185609089290665,3.33194124309739,-3953.529334599323,23846.743418525908,8308.832647402784,-1.5641712232509235,-1.4187151469850505,3.3318487191954773,-0.7038738025189559,-0.1252959326884593,0.7713265493948711,1.318312297371449e-05,-0.00015423805598402396,-9.252390191250015e-05,0.2426668111674838,0.975581156978867,-0.30892761502938454,-0.00017601217012110765,-2.78489573975713e-05,-2.7712751781651927e-05
COSMOS 1989 (ETALON 1),2025-01-01 17:26:27.413952,-4417.665196216844,23395.843791566673,9298.35779634334,-1.534208693511573,-1.5877442371565849,3.2688771156972507,-4418.36700939326,23395.6713894786,9299.10444589554,-1.534192093202364,-1.5878917721856851,3.268781718397804,-0.7018131764152713,-0.17240208807197632,0.7466495522003243,1.6600309209025e-05,-0.00014753502910025418,-9.539729944663122e-05,0.23510849890687688,0.9610283413073842,-0.3176449107231967,-0.0001726129780263449,-2.6082298954144167e-05,-2.5831634042420164e-05
COSMOS 1989 (ETALON 1),2025-01-01 17:31:27.413952,-4873.016590789392,22894.567935761122,10268.678645807566,-1.5009393099189765,-1.7535089047523797,3.1987938045986084,-4873.7152068832565,22894.3502548899,10269.399734960236,-1.5009193544610753,-1.753649632952147,3.198695807499462,-0.6986160938649846,-0.21768087122109137,0.7210891526701744,1.9955457901232876e-05,-0.00014072819976718165,-9.799709914659616e-05,0.22789961472297898,0.947309905447936,-0.32570643691931056,-0.0001692223761311007,-2.4477145502677137e-05,-2.3890054740257862e-05
COSMOS 1989 (ETALON 1),2025-01-01 17:36:27.413952,-5317.902072413299,22344.119955029855,11216.940290229737,-1.4644475527438772,-1.9155014068710443,3.1218415350303985,-5318.596368560649,22343.85886380576,11217.635009888148,-1.4644243058437496,-1.9156352217614767,3.121741204047794,-0.694296147350542,-0.2610912240961625,0.6947196584114863,2.3246900127560366e-05,-0.00013381489043240435,-0.00010033098260464612,0.22107885734255697,0.9343577959854613,-0.3330928087283048,-0.00016583952848482834,-2.304573554841158e-05,-2.1892788820829457e-05
COSMOS 1989 (ETALON 1),2025-01-01 17:41:27.413952,-5751.366477380564,21745.683524230204,12141.106393397333,-1.4248114924894253,-2.07337625206128,3.038184982377061,-5752.055342375519,21745.38092562502,12141.774010355506,-1.4247850036235832,-2.0735030687319522,3.0380825904267112,-0.6888649949551109,-0.30259860518344794,0.667616958173312,2.648886584211141e-05,-0.00012681667067226954,-0.00010239195034955628,0.21467596191000826,0.9221038810381125,-0.33978223015119846,-0.00016248310832832753,-2.1782728831764718e-05,-1.9824018336175686e-05
COSMOS 1989 (ETALON 1),2025-01-01 17:46:27.413952,-6172.479059422126,21100.544674432967,13039.192146026924,-1.382115813933524,-2.22679666987824,2.9480029279384325,-6173.161395582663,21100.202506813763,13039.831995075265,-1.3820861504327695,-2.2269164002209436,2.947898724454717,-0.6823361605374885,-0.3421676192047016,0.6398490483406931,2.96635007543955e-05,-0.00011973034270340577,-0.000104203483715537,0.20871425235574825,0.9104712628728497,-0.34575795091081396,-0.00015915803266116924,-2.0705670022058803e-05,-1.7709887851112813e-05
COSMOS 1989 (ETALON 1),2025-01-01 17:51:27.413952,-6580.335447838924,20410.089072907664,13909.268442443898,-1.3364516425817783,-2.3754353006625024,2.85148788753213,-6581.01017165893,20409.709304890966,13909.879928112343,-1.3364188730847673,-2.3755478842940647,2.8513821258602547,-0.6747238200059655,-0.3797680166971986,0.6114856684453116,3.276949701103149e-05,-0.00011258363156230189,-0.00010576167187537067,0.20320900632927974,0.8993851465122173,-0.35100307759824523,-0.0001558866314496616,-1.9799040026159773e-05,-1.5549965186636266e-05
COSMOS 1989 (ETALON 1),2025-01-01 17:56:27.413952,-6974.059551052123,19675.7990991401,14749.465941914177,-1.2879163532061284,-2.518974864935444,2.7488457134677446,-6974.725595819633,19675.383727915396,14750.04853782301,-1.2878805373438809,-2.5190802243778307,2.7487386253360455,-0.6660447675094474,-0.4153712247025396,0.5825959088324453,3.581586224754574e-05,-0.00010535944238654338,-0.00010708813169912901,0.19816994062861418,0.8887704491175373,-0.3555033657120096,-0.00015267147363034954,-1.909400322333586e-05,-1.3345269566151392e-05
COSMOS 1989 (ETALON 1),2025-01-01 18:01:27.413952,-7352.8054018235,18899.25072278753,15557.979006700416,-1.2366133684809029,-2.6571088131786382,2.6402951709842455,-7353.461715349654,18898.80177219969,15558.532249836817,-1.2365745867828082,-2.6572069064204697,2.640186991482551,-0.6563135261540083,-0.44895058783731656,0.5532431364008517,3.8781698094680905e-05,-9.809324183152057e-05,-0.00010817950169439428,0.19359652421915788,0.8785473753667157,-0.35924495536242074,-0.0001495363283806937,-1.8560411269223794e-05,-1.1113344002154833e-05
COSMOS 1989 (ETALON 1),2025-01-01 18:06:27.413952,-7715.758940629182,18082.110189711882,16333.069509275449,-1.1826519519036083,-2.7895419566666533,2.526067489552588,-7716.404489500583,18081.629708425688,16333.593001355524,-1.1826102571922092,-2.789632740405068,2.525958445196011,-0.6455488714009334,-0.48048128619484487,0.5234920800758118,4.16947113990318e-05,-9.078373841475695e-05,-0.00010904435657721478,0.18948346311047562,0.8686393065436304,-0.36221725799253945,-0.00014649596229878142,-1.821326820275682e-05,-8.832763558184636e-06
COSMOS 1989 (ETALON 1),2025-01-01 18:11:27.413952,-8062.139733718952,17226.130522589978,17073.070501327235,-1.1261469749561002,-2.9159910704656795,2.4064058901967655,-8062.773504856209,17225.62057743241,17073.563908042463,-1.1261024484356312,-2.916074510634644,2.4062961968993477,-0.6337711372570993,-0.5099451575661078,0.4934067152280477,4.4526520468934905e-05,-8.344016896444373e-05,-0.0001096932974178344,0.18581575018211924,0.8589743430229944,-0.36441142927998693,-0.0001435592228410289,-1.804306245134644e-05,-6.533739736129956e-06
