satellite,timestamp,x_pred,y_pred,z_pred,vx_pred,vy_pred,vz_pred,x_truth,y_truth,z_truth,vx_truth,vy_truth,vz_truth,dx,dy,dz,dvx,dvy,dvz,dr,ds,dw,dvr,dvs,dvw
LAGEOS 1,2025-01-01 03:21:13.726080,11932.17283111031,-1493.2366371790824,2241.1014834678563,-1.241274980673552,-1.8331697726662242,5.272241320095418,11932.03822434063,-1493.5747706121092,2241.2753199969416,-1.2413910442992346,-1.8332797151142586,5.2722042740906545,-0.13460676968134067,-0.3381334330267691,0.17383652908529257,-0.00011606362568272743,-0.00010994244803441688,-3.704600476339692e-05,-0.05817818395854121,0.2976867305012194,0.2658387654457422,-0.00010658220801364069,2.5890405862593002e-05,0.00012206733131578487
LAGEOS 1,2025-01-01 03:26:13.726080,11444.16402272031,-2026.7718603220706,3795.640071363268,-2.0069525221642834,-1.717870010493698,5.0743242733879015,11443.996255802384,-2027.136843172562,3795.7979715534816,-2.0070685121336282,-1.7179575324364578,5.074271226576002,-0.16776691792620113,-0.3649828504915149,0.15790019021369517,-0.00011598996934480965,-8.752194275984948e-05,-5.304681189954863e-05,-0.04751074325742798,0.30835855105118737,0.2982422224327542,-0.00011052915083799322,1.9563610449920914e-05,0.00010643448532768988
LAGEOS 1,2025-01-01 03:31:13.726080,10731.84446945649,-2520.5792482998463,5275.709967111701,-2.7341782615367265,-1.568743796734907,4.776571426194096,10731.645270152107,-2520.9641534904094,5275.847618661934,-2.734288534564257,-1.5688074178829083,4.776502615886784,-0.1991993043830007,-0.3849051905631313,0.13765155023247644,-0.0001102730275306385,-6.362114800140262e-05,-6.881030731165083e-05,-0.03611597067375761,0.31546850701917717,0.3255081805606419,-0.00011341672910776399,1.238552757549147e-05,8.902748862731096e-05
LAGEOS 1,2025-01-01 03:36:13.726080,9808.95528570008,-2964.9283961782176,6652.168202702658,-3.4083972612479556,-1.3886882660262927,4.384704728946417,9808.727857385664,-2965.3261495658026,6652.281825038789,-3.4084961337339337,-1.388727336679949,4.38462192228144,-0.22742831441610178,-0.39775338758499856,0.11362233613090211,-9.88724859780632e-05,-3.907065365638118e-05,-8.28066649773973e-05,-0.02420285912367908,0.31887422484904043,0.34723893954811286,-0.00011498939699919489,4.678239264222013e-06,7.01054982183734e-05
LAGEOS 1,2025-01-01 03:41:13.726080,8693.45586989261,-3351.0561199261797,7897.8839412041,-4.0160950390145445,-1.1812429633109787,3.9063929127942174,8693.204692503788,-3351.459694917355,7897.970604574111,-4.016177435960344,-1.1812576309821452,3.9062993053266837,-0.25117738882181584,-0.4035749911754465,0.08666337001159263,-8.239694579970092e-05,-1.4667671166535001e-05,-9.36074675337295e-05,-0.012014049762753831,0.31854566293853354,0.36312217928780083,-0.0001151515027084381,-3.213460713367939e-06,4.996559142929149e-05
LAGEOS 1,2025-01-01 03:46:13.726080,7407.16642642117,-3671.3484181613803,8988.299830813476,-4.545094643900484,-0.9505155184019713,3.3510924335478194,7406.896970448616,-3671.750988604066,8988.357674581704,-4.545156583203607,-0.9505065692669632,3.3509923340025125,-0.2694559725541694,-0.4025704426858283,0.05784376822884951,-6.19393031229265e-05,8.949135008151643e-06,-0.00010009954530687537,0.0001628109084271731,0.3145442921254058,0.372930617911999,-0.0001139344768800502,-1.0993264330788155e-05,2.8888862504671564e-05
LAGEOS 1,2025-01-01 03:51:13.726080,5975.325928807113,-3919.4979968944704,9901.938983995742,-4.984821939678113,-0.7010935835996861,2.7298452685499797,5975.044351800322,-3919.893044362345,9901.967340004388,-4.984860793959342,-0.7010623041596773,2.7297436992575967,-0.2815770067909398,-0.3950474678745195,0.028356008646369446,-3.8854281228850596e-05,3.127944000880234e-05,-0.00010156929238291923,0.012009619511099624,0.30699583331623087,0.3765122882714973,-0.00011141334380799278,-1.8437767990390568e-05,7.176017370124965e-06
LAGEOS 1,2025-01-01 03:56:13.726080,4426.076196978142,-4090.6336289514693,10620.845541512945,-5.326531986304872,-0.43794569998681254,2.055039777475031,4425.789055447592,-4091.0150208494633,10620.845001462683,-5.326546627578864,-0.4378936734669878,2.0549421285031713,-0.28714153055079805,-0.3813918979940354,-0.0005400502614065772,-1.4641273992310744e-05,5.202651982472162e-05,-9.764897185959853e-05,0.023214480494174437,0.296072610761924,0.373781255721627,-0.00010766221677269952,-2.5340428500735414e-05,-1.4938444946315806e-05
LAGEOS 1,2025-01-01 04:01:13.726080,2789.884637929929,-4181.418462387444,11130.948821450202,-5.563491099052044,-0.16631398073059245,1.3401418487228511,2789.5985932684953,-4181.780504080224,11130.921285014107,-5.563481994367066,-0.16624296602731192,1.340053500231079,-0.28604466143360696,-0.3620416927797123,-0.027536436095033423,9.104684977501165e-06,7.101470328052528e-05,-8.834849177219439e-05,0.03351331105545542,0.2820013027792391,0.36470003313846094,-0.00010275186314954649,-3.145809213734056e-05,-3.720057025581123e-05
LAGEOS 1,2025-01-01 04:06:13.726080,1098.9195431602589,-4190.115286192324,11422.343321357566,-5.691110953458065,0.10839836374725564,0.5994040995756222,1098.6410264740507,-4190.452757407426,11422.292002032276,-5.691080195871109,0.10848662957687338,0.5993299409637984,-0.2785166862081496,-0.33747121510259603,-0.0513193252900237,3.075758695558761e-05,8.826582961773966e-05,-7.415861182380468e-05,0.04271299851606015,0.26508528268426734,0.34928130687081427,-9.684784797942191e-05,-3.64859799213374e-05,-5.937721071258459e-05
